suite,clamp,count_fired,N_candidates,rate
COMBINED_LOCKED_REGRESSION,protected_number,6,207,0.028985507246376812
COMBINED_LOCKED_REGRESSION,protected_unit,2,207,0.00966183574879227
COMBINED_LOCKED_REGRESSION,protected_entity,15,207,0.07246376811594203
COMBINED_LOCKED_REGRESSION,protected_literal_drift,21,207,0.10144927536231885
COMBINED_LOCKED_REGRESSION,overclaim_flag,12,207,0.057971014492753624
COMBINED_LOCKED_REGRESSION,content_clamp_flag,34,207,0.1642512077294686
COMBINED_LOCKED_REGRESSION,relation_polarity_clamp_legacy,9,207,0.043478260869565216
COMBINED_LOCKED_REGRESSION,relation_polarity_clamp_v10b,35,207,0.16908212560386474
COMBINED_LOCKED_REGRESSION,noncopular_relation_clamp,18,207,0.08695652173913043
COMBINED_LOCKED_REGRESSION,noncopular_relation_clamp_v13c,24,207,0.11594202898550725
COMBINED_LOCKED_REGRESSION,final_geometric_block,19,207,0.09178743961352658
COMBINED_LOCKED_REGRESSION,final_geometric_block_v14b,0,207,0.0
COMBINED_LOCKED_REGRESSION,final_literal_block,18,207,0.08695652173913043
COMBINED_LOCKED_REGRESSION,negated_positive_support_clamp,4,207,0.01932367149758454
COMBINED_LOCKED_REGRESSION,reference_member_geometry_override,1,207,0.004830917874396135
COMBINED_LOCKED_REGRESSION,relation_supported_geometry_override,0,207,0.0
